g) | Temp = 33.12 degC 
Gyro: X =   -0.20947, Y =   -0.00763, Z =    0.20870 (dps) | Acc: X = -0.00477, Y = -0.00012, Z = 0.99545 (g) | Temp = 33.03 degC 
Gyro: X =    0.07298, Y =   -0.05344, Z =    0.17053 (dps) | Acc: X = 0.00280, Y = -0.00061, Z = 1.00302 (g) | Temp = 33.17 degC 
Gyro: X =    0.14931, Y =   -0.06107, Z =   -0.14244 (dps) | Acc: X = -0.00013, Y = -0.00110, Z = 1.00448 (g) | Temp = 33.12 degC 
Gyro: X =   -0.01099, Y =   -0.09924, Z =   -0.17298 (dps) | Acc: X = -0.00257, Y = 0.00305, Z = 0.99911 (g) | Temp = 33.32 degC 
Gyro: X =   -0.10260, Y =   -0.14504, Z =    0.02550 (dps) | Acc: X = 0.00304, Y = 0.00598, Z = 0.99936 (g) | Temp = 33.17 degC 
Gyro: X =    0.01954, Y =    0.04580, Z =    0.05603 (dps) | Acc: X = -0.00038, Y = -0.00012, Z = 1.00058 (g) | Temp = 33.17 degC 
Gyro: X =   -0.20947, Y =   -0.27481, Z =    0.10183 (dps) | Acc: X = -0.00086, Y = 0.00183, Z = 0.99545 (g) | Temp = 33.32 degC 
Gyro: X =   -0.14076, Y =    0.17557, Z =   -0.08901 (dps) | Acc: X = -0.00160, Y = 0.00232, Z = 0.99716 (g) | Temp = 33.22 degC 
Gyro: X =    0.04244, Y =    0.01527, Z =   -0.06611 (dps) | Acc: X = -0.00038, Y = 9936 (g) | Temp = 33.03 degC 
Gyro: X =    0.002290, Z =    0.0.00452, Z = 0.98824, Y =    0.28504 (dps) | Acc: X = -0.00257, Y = -0.00061, Z = 1.00058 (g) | Temp = 33.41 degC 
Gyro: X =   -0.07969, Y =    0.16031, Z =   -0.10427 (dps) | Acc: X = 0.00207, Y = -0.00256, Z = 0.99765 (g) | Temp = 33.41 degC 
Gyro: X =   -0.19420, Y =    0.20611, Z =    0.01786 (dps) | Acc: X = 0.00036, Y = 0.00281, Z = 1.00180 (g) | Temp = 33.12 degC 
Gyro: X =    0.09588, Y =    0.25954, Z =   -0.24168 (dps) | Acc: X = -0.00111, Y = 0.00012, Z = 1.00253 (g) | Temp = 33.22 degC 
Gyro: X =   -0.11023, Y =    0.00763, Z =   -0.0508 = -0.00038, Y =4 (dps) | Acc: X 0.00549, Z = 1.00399 (g) | Temp = 33.12 degC 
Gyro: X =    0.02718, Y =   -0.23664, Z =   -0.02794 (dps) | Acc: X = 0.00011, Y = 0.00183, Z = 1.00229 (g) | Temp = 33.22 degC 
Gyro: X =    0.27908, Y =    0.03053, Z =    0.01023 (dps) | Acc: X = -0.00404, Y = 0.00159, Z = 0.99691 (g) | Temp = 33.22 degC 
Gyro: X =    0.11115, Y =   -0.00763, Z =   -0.02031 (dps) | Acc: X = -0.00428, Y = 0.00085, Z = 0.99618 (g) | Temp = 33.32 degC 
Gyro: X =   -0.20183, Y =    0.19847, Z =   -0.23405 (dps) | Acc: X = -0.00135, Y = -0.00305, Z = 1.00448 (g) | Temp = 33.17 degC 
Gyro: X =    0.14931, Y =   -0.03817, Z =   -0.34855 (dps) | Acc: X = 0.00158, Y = 0.00012, Z = 0.99838 (g) | Temp = 33.12 degC 
Gyro: X =    0.00427, Y =    0.19084, Z =    0.02550 (dps) | Acc: X = -0.00135, Y = 0.00012, Z = 1.00302 (g) | Temp = 33.22 degC 
Gyro: X =   -0.05679, Y =   -0.06107, Z =   -0.05847 (dps) | Acc: X = -0.00233, Y = -0.00110, Z = 1.00253 (g) | Temp = 33.17 degC 
Gyro: X =   -0.04916, Y =   -0.13740, Z =    0.01023 (dps) | Acc: X = 0.00231, Y = -0.00159, Z = 1.00131 (g) | Temp = 33.12 degC 
Gyro: X =    0.04244, Y =   -0.06107, Z =    0.03313 (dps) | Acc: X = 0.00011, Y = 0.00110, Z = 1.00277 (g) | Temp = 33.17 degC 
Gyro: X =   -0.03389, Y =    0.00000, Z =    0.10183 (dps) | Acc: X = 0.00133, Y = -0.00012, Z = 0.99569 (g) | Temp = 33.17 degC 
Gyro: X =   -0.01863, Y =   -0.03817, Z =    0.10947 (dps) | Acc: X = -0.00013, Y = -0.00037, Z = 0.99423 (g) | Temp = 33.22 degC 
Gyro: X =    0.07298, Y =    0.21374, Z =   -0.05084 (dps) | Acc: X = 0.00109, Y = 0.00427, Z = 1.00277 (g) | Temp = 33.22 degC 
Gyro: X =    0.08824, Y =    0.04580, Z =    0.17053 (dps) | Acc: X = -0.00038, Y = 0.00012, Z = 0.99496 (g) | Temp = 33.17 degC 
Gyro: X =    0.21038, Y =    0.07634, Z =   -0.26458 (dps) | Acc: X = 0.00084, Y = 0.00305, Z = 0.99984 (g) | Temp = 33.22 degC 
Gyro: X =    0.21038, Y =   -0.06870, Z =   -0.06611 (dps) | Acc: X = 0.00084, Y = -0.00012, Z = 1.00082 (g) | Temp = 33.41 degC 
Gyro: X =    0.05771, Y =   -0.19084, Z =    0.06366 (dps) | Acc: X = -0.00013, Y = 0.00330, Z = 1.00253 (g) | Temp = 33.22 degC 
Gyro: X =    0.01954, Y =   -0.09924, Z =    0.00260 (dps) | Acc: X = -0.00111, Y = 0.00330, Z = 0.99911 (g) | Temp = 33.12 degC 
Gyro: X =   -0.13313, Y =    0.13740, Z =    0.01023 (dps) | Acc: X = 0.00280, Y = 0.00012, Z = 1.00473 (g) | Temp = 33.32 degC 
Gyro: X =    0.01191, Y =    0.10687, Z =   -0.08137 (dps) | Acc: X = -0.00038, Y = 0.00085, Z = 1.00155 (g) | Temp = 33.41 degC 
Gyro: X =   -0.02626, Y =   -0.06870, Z =   -0.15008 (dps) | Acc: X = -0.00038, Y = -0.00256, Z = 0.99936 (g) | Temp = 33.17 degC 
Gyro: X =    0.21038, Y =    0.30534, Z =   -0.08901 (dps) | Acc: X = -0.00208, Y = 0.00061, Z = 1.00351 (g) | Temp = 33.17 degC 
Gyro: X =    0.07298, Y =    0.06870, Z =   -0.12718 (dps) | Acc: X = -0.00038, Y = 0.00183, Z = 1.00399 (g) | Temp = 33.32 degC 
Gyro: X =    0.20275, Y =    0.12977, Z =   -0.32565 (dps) | Acc: X = -0.00257, Y = 0.00037, Z = 1.00375 (g) | Temp = 33.03 degC 
Gyro: X =    0.13405, Y =   -0.11450, Z =    0.28504 (dps) | Acc: X = -0.00282, Y = -0.00085, Z = 1.00521 (g) | Temp = 33.17 degC 
Gyro: X =    0.00427, Y =   -0.11450, Z =   -0.03557 (dps) | Acc: X = -0.00599, Y = 0.00085, Z = 0.99691 (g) | Temp = 33.36 degC 
Gyro: X =   -0.08733, Y =    0.14504, Z =   -0.18061 (dps) | Acc: X = -0.00550, Y = -0.00061, Z = 1.00131 (g) | Temp = 33.12 degC 
Gyro: X =    0.08824, Y =    0.09924, Z =    0.16290 (dps) | Acc: X = 0.00255, Y = 0.00330, Z = 0.99862 (g) | Temp = 33.17 degC 
