0.03, 0.02, -0.02, -8.94, -63.43, -113.91, 0.03, 0.02, -0.02, -8.88, -63.37, -114.12
0.03, 0.01, -0.02, -9.82, -63.23, -114.67, 0.03, 0.01, -0.02, -9.14, -63.28, -114.20
0.03, 0.01, -0.03, -9.38, -63.05, -114.32, 0.03, 0.01, -0.03, -9.19, -63.18, -114.22
0.04, 0.01, -0.03, -8.97, -63.29, -114.26, 0.04, 0.01, -0.03, -9.08, -63.27, -114.19
0.04, 0.01, -0.03, -9.12, -62.99, -113.91, 0.04, 0.01, -0.03, -9.05, -63.16, -114.13
0.04, 0.01, -0.03, -9.44, -63.14, -114.94, 0.04, 0.01, -0.03, -9.15, -63.15, -114.24
0.03, 0.02, -0.02, -9.38, -62.47, -114.18, 0.03, 0.02, -0.02, -9.18, -62.81, -114.25
0.04, 0.01, -0.03, -9.15, -63.31, -114.24, 0.04, 0.01, -0.03, -9.12, -63.12, -114.18
0.04, 0.01, -0.02, -8.48, -63.29, -113.30, 0.04, 0.01, -0.02, -8.87, -63.30, -113.99
0.03, 0.01, -0.02, -8.94, -62.88, -114.29, 0.03, 0.01, -0.02, -8.87, -63.09, -114.04
0.04, 0.01, -0.03, -9.18, -62.82, -113.83, 0.04, 0.01, -0.03, -8.93, -62.97, -114.00
0.03, 0.01, -0.02, -9.41, -63.46, -114.47, 0.03, 0.01, -0.02, -9.03, -63.25, -114.02
0.04, 0.01, -0.03, -9.03, -63.26, -114.56, 0.04, 0.01, -0.03, -9.00, -63.26, -114.08
0.04, 0.01, -0.03, -8.94, -62.76, -114.47, 0.04, 0.01, -0.03, -8.96, -63.01, -114.15
0.03, 0.01, -0.02, -9.30, -63.08, -114.73, 0.03, 0.01, -0.02, -9.03, -63.05, -114.22
0.03, 0.01, -0.03, -9.12, -62.85, -114.29, 0.03, 0.01, -0.03, -9.03, -62.97, -114.22
0.03, 0.01, -0.02, -9.18, -62.88, -114.73, 0.03, 0.01, -0.02, -9.04, -62.93, -114.28
0.04, 0.01, -0.02, -8.86, -62.58, -113.59, 0.04, 0.01, -0.02, -8.94, -62.80, -114.17
0.02, 0.01, -0.02, -9.09, -63.23, -114.59, 0.02, 0.01, -0.02, -8.95, -63.05, -114.18
0.03, 0.01, -0.03, -9.35, -62.79, -114.03, 0.03, 0.01, -0.03, -9.04, -62.93, -114.16
0.03, 0.01, -0.02, -9.03, -62.44, -115.14, 0.03, 0.01, -0.02, -9.02, -62.65, -114.33
0.03, 0.01, -0.03, -9.41, -62.93, -113.62, 0.03, 0.01, -0.03, -9.09, -62.86, -114.17
0.04, 0.01, -0.03, -8.89, -63.26, -114.91, 0.04, 0.01, -0.03, -8.99, -63.08, -114.23
0.03, 0.02, -0.02, -9.53, -63.55, -114.18, 0.03, 0.02, -0.02, -9.12, -63.37, -114.16
0.04, 0.01, -0.03, -8.94, -63.14, -113.88, 0.04, 0.01, -0.03, -9.02, -63.29, -114.11
0.03, 0.01, -0.02, -8.74, -62.79, -115.29, 0.03, 0.01, -0.02, -8.92, -63.01, -114.31
0.04, 0.01, -0.02, -8.92, -62.99, -115.26, 0.04, 0.01, -0.02, -8.89, -62.99, -114.44
0.08, 0.01, -0.03, -8.86, -63.46, -113.94, 0.08, 0.01, -0.03, -8.83, -63.31, -114.29
0.04, 0.01, -0.02, -8.86, -62.64, -114.41, 0.04, 0.01, -0.02, -8.81, -63.01, -114.29
