180.33, 4.19
0.06, 0.01, 0.02, 43.61, 169.07, 3.16, 0.06, 0.01, 0.01, 45.39, 176.63, 3.96
0.06, 0.02, 0.02, 43.38, 168.49, 3.83, 0.06, 0.02, 0.02, 45.38, 174.08, 4.09
0.07, 0.01, 0.01, 43.32, 168.75, 3.57, 0.07, 0.00, 0.00, 44.97, 172.49, 3.87
0.06, 0.03, 0.01, 43.15, 168.72, 3.80, 0.05, 0.03, 0.01, 44.48, 171.40, 3.85
0.06, 0.02, 0.02, 43.12, 168.99, 2.51, 0.06, 0.02, 0.02, 44.03, 170.74, 3.06
0.06, 0.04, 0.02, 43.26, 168.69, 2.95, 0.05, 0.04, 0.02, 43.90, 170.12, 2.99
0.36, -0.23, 0.09, 42.33, 167.41, 4.50, 0.36, -0.23, 0.09, 43.28, 169.04, 3.87
1.27, 0.05, 0.90, 46.74, 149.28, 11.75, 1.27, 0.05, 0.90, 45.94, 153.28, 8.98
1.37, 2.71, 0.22, 34.84, 85.36, 14.06, 1.34, 2.70, 0.21, 60.43, 126.21, 18.89
-2.52, 2.79, -0.05, 19.38, 69.34, -3.74, -2.51, 2.79, -0.05, 13.57, 77.61, 1.69
-0.49, 0.67, 0.09, 21.02, 58.35, -14.35, -0.48, 0.67, 0.09, 12.99, 69.56, -1.71
-0.06, 1.41, 0.35, 21.92, 53.00, -15.17, -0.05, 1.41, 0.36, 17.96, 64.05, -4.67
0.96, 0.21, 0.31, 27.33, 48.76, -15.11, 0.96, 0.21, 0.31, 21.14, 54.50, -6.99
1.95, -2.00, 1.25, 28.27, 44.37, -17.42, 1.96, -1.99, 1.25, 23.56, 48.74, -14.84
0.98, -2.18, 2.72, 28.33, 29.29, -30.25, 0.98, -2.18, 2.72, 27.38, 31.39, -29.98
1.42, -1.67, 2.91, 19.12, 22.98, -46.10, 1.42, -1.67, 2.91, 21.38, 21.24, -34.38
0.98, -0.66, 2.58, 14.41, 26.31, -51.53, 0.98, -0.66, 2.59, 17.20, 24.56, -33.42
0.44, -0.56, 1.38, 15.90, 28.24, -52.27, 0.44, -0.56, 1.38, 17.14, 25.58, -34.17
0.20, 0.27, -0.01, 17.13, 28.94, -51.53, 0.20, 0.27, -0.01, 16.60, 26.43, -35.45
-0.28, 0.04, -0.50, 17.66, 27.86, -51.33, -0.27, 0.04, -0.50, 16.71, 26.70, -36.22
-0.19, -0.15, -0.22, 16.34, 26.75, -52.50, -0.19, -0.15, -0.22, 16.22, 26.52, -36.98
-0.18, -0.04, -0.08, 11.55, 117.74, -47.65, -0.16, -0.03, -0.08, 10.10, 60.61, -20.62
-0.16, -0.13, -0.02, 15.11, 24.96, -54.57, -0.15, -0.13, -0.02, 10.67, 43.91, -24.55
-0.37, 0.10, -0.82, 14.64, 23.71, -56.07, -0.36, 0.10, -0.82, 11.91, 33.57, -27.80
-0.53, -0.51, -2.23, 9.65, 23.03, -56.07, -0.53, -0.51, -2.23, 10.95, 27.23, -28.85
-0.02, -0.64, -4.18, -2.54, 114.62, -47.94, -0.02, -0.64, -4.18, -2.51, 109.99, -40.65
