-0.04, 101.00, 796.29, 146.65, 4.18, 0.06, 0.02, 0.01, 0.07, 0.02, 0.02, 71.88, 13.99, 2.11, 0.00, 
-0.04, 100.97, 796.23, 146.74, 3.74, 0.06, 0.02, 0.01, 0.07, 0.02, 0.02, 72.21, 14.01, 2.04, 0.00, 
-0.04, 100.94, 796.46, 146.51, 4.91, 0.06, 0.02, 0.01, 0.07, 0.02, 0.02, 72.53, 14.02, 1.98, 0.00, 
-0.03, 100.92, 796.40, 146.92, 4.36, 0.06, 0.02, 0.01, 0.07, 0.02, 0.01, 72.83, 14.06, 1.92, 0.00, 
-0.03, 100.91, 796.40, 147.12, 4.44, 0.06, 0.01, 0.01, 0.06, 0.01, 0.02, 73.12, 14.10, 1.86, 0.00, 
-0.03, 100.89, 796.43, 146.86, 4.53, 0.07, 0.02, 0.01, 0.07, 0.02, 0.01, 73.39, 14.12, 1.80, 0.00, 
-0.03, 100.89, 796.26, 147.50, 4.12, 0.06, 0.02, 0.01, 0.06, 0.02, 0.02, 73.65, 14.17, 1.74, 0.00, 
-0.03, 100.88, 796.23, 147.41, 4.56, 0.06, 0.02, 0.01, 0.07, 0.02, 0.02, 73.91, 14.20, 1.69, 0.00, 
-0.03, 100.84, 796.05, 146.77, 4.50, 0.06, 0.01, 0.01, 0.07, 0.01, 0.02, 74.15, 14.20, 1.64, 0.00, 
-0.03, 100.80, 796.11, 146.36, 4.76, 0.07, 0.01, 0.01, 0.07, 0.02, 0.01, 74.38, 14.19, 1.59, 0.00, 
-0.03, 100.78, 796.02, 146.59, 4.18, 0.06, 0.02, 0.01, 0.07, 0.02, 0.02, 74.60, 14.21, 1.54, 0.00, 
-0.03, 100.78, 795.91, 146.97, 4.62, 0.06, 0.01, 0.01, 0.07, 0.01, 0.02, 74.82, 14.24, 1.49, 0.00, 
-0.03, 100.74, 796.17, 146.30, 4.91, 0.06, 0.01, 0.01, 0.07, 0.02, 0.01, 75.02, 14.24, 1.46, 0.00, 
-0.03, 100.74, 796.05, 146.97, 4.85, 0.06, 0.01, 0.01, 0.06, 0.02, 0.01, 75.21, 14.27, 1.42, 0.00, 
-0.03, 100.75, 796.40, 147.35, 5.00, 0.06, 0.02, 0.01, 0.07, 0.02, 0.01, 75.40, 14.31, 1.38, 0.00, 
-0.03, 100.75, 796.20, 147.53, 4.71, 0.06, 0.01, 0.02, 0.07, 0.02, 0.02, 75.58, 14.35, 1.34, 0.00, 
